No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1.0,AMOXICILINA 500 MG BLISTER X 10 CAJA X50,8.0,11.7,20.0,0.41500000000000004,93.6,160.0
2.0,ARGININA FORTE 10 AMP BEBIBLES,7.0,10.5,16.0,0.34375,73.5,112.0
3.0,AZITROMICINA 500 MG B X 5 CAJA X 30,12.0,33.0,49.0,0.32653061224489793,396.0,588.0
4.0,AZITROMICINA POLVO SUSP 200 MG/5ML 15ML,4.0,31.68,51.0,0.3788235294117647,126.72,204.0
5.0,CEFRADOXILO 500 MG CAP CAJA X 30 BLIS X 10,6.0,17.85,29.0,0.3844827586206896,107.10000000000001,174.0
6.0,CIPROFLOXACINA 500 MG CAJA X 60 BL X 10,7.0,14.2,27.0,0.4740740740740741,99.39999999999999,189.0
7.0,DEXTRIUM PLUS 75MG/25MG CAJA X 10 (DEX/TRAM),13.0,9.6,17.0,0.43529411764705883,124.8,221.0
8.0,DICLOFENACO GOTAS DE 15 ML,2.0,11.09,20.0,0.4455,22.18,40.0
9.0,DONADAX CAJA X 10 TABS,13.0,5.68,9.0,0.36888888888888893,73.84,117.0
10.0,ESOGASTRIC 10 MG CAJA X  15 SOBRES ,18.0,11.52,19.0,0.3936842105263158,207.35999999999999,342.0
11.0,FAMOXIDE 40 MG CAJA DE 10 COMPRIMIDOS,16.0,2.15,4.0,0.4625,34.4,64.0
12.0,FENITOINA SOD 100MG CAJA X  100 CAPS BLIST X 10,21.0,5.86,10.0,0.414,123.06,210.0
13.0,FERKEL F-800 CAJA X 30 CAPS BLIST X 5,2.0,33.35,51.0,0.346078431372549,66.7,102.0
14.0,IRS GOTAS DE 20 ML,3.0,44.6,72.0,0.38055555555555554,133.8,216.0
15.0,IRS JARABE DE 120 ML,5.0,48.89,75.0,0.34813333333333335,244.45,375.0
16.0,IRS TABELTA BLIST X 10 CAJA X 20,47.0,2.444,3.75,0.34826666666666667,114.868,176.25
17.0,LORATADINA 10 MG BLIST X 10 CAJA X 100,12.0,3.62,6.0,0.39666666666666667,43.44,72.0
18.0,METOCARBAN AC 500 MG BLIST X 10 CAJA X 30 TAB,27.0,2.6,4.0,0.35,70.2,108.0
19.0,NEUROFORTAN BLISTER X 5 CAJA X 60,7.0,3.63,6.0,0.395,25.41,42.0
20.0,NUTRISON H3 PLUS CAJA X 30,0.0,44.38,68.0,0.34735294117647053,0.0,0.0
21.0,NUTRISON JBE NIÑOS 240 ML,1.0,21.82,41.0,0.46780487804878046,21.82,41.0
22.0,PASINERVA CAJA X 30 CAPS BLISTER X 5,0.0,1.17,2.2,0.46818181818181825,0.0,0.0
23.0,PAVERIN COMPUESTO CAJA X 20 TAB BLIST X 5,28.0,1.77,3.0,0.41,49.56,84.0
24.0,PIREX 100 MGS DISPENSADOR X 12 CAJA X 2 TAB,13.0,5.8,12.0,0.5166666666666667,75.39999999999999,156.0
25.0,VITAMINAS PRENATALES X 100 BLIST X 10,11.0,2.94,5.0,0.41200000000000003,32.339999999999996,55.0
26.0,VINTAX 6 MGS CAJA X 2 TAB,2.0,23.75,40.0,0.40625,47.5,80.0
27.0,ZINC 20 MG KIPP B X 10 TAB CAJA X 30,3.0,11.68,20.0,0.41600000000000004,35.04,60.0
28.0,,,,,,,
29.0,,,,,,2442.488,3988.25
,,,,,,,
,,,,,,,1545.7620000000002
,,,,,,,0.38757901335172074
